Company Name,Industry,Symbol,Series,ISIN Code
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
